Product ID,Product Name,Category,Gender,Season,Style,Occasion,Color,Material,Price,Sizes,Description,Matching Suggestions,Uri
82,Beige Textured Camp Collar Shirt,Camp Collar Shirt,Male,Spring / Summer,"Relaxed, resort","Vacation, brunch, summer party",Beige,Textured rayon blend,HKD 309,"M, L, XL",A camp collar shirt with a relaxed drape for easy-going summer styling.,Wear open over a tank top with drawstring shorts.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/82.jpg
83,Deep Navy Merino Cardigan,Cardigan,Male,Autumn / Winter,"Classic, polished","Office, dinner, layering",Deep Navy,Merino wool,HKD 489,"M, L, XL",A fine merino cardigan that adds warmth and a tidy layered finish for cooler days.,Layer over an oxford shirt with chinos.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/83.jpg
84,Cement Straight Cargo Pants,Cargo Pants,Male,Spring / Autumn,"Utility, streetwear","Travel, weekend, city outing",Cement,Cotton ripstop,HKD 419,"M, L, XL",Straight cargo pants with a durable texture and practical storage for everyday wear.,Pair with a graphic tee and overshirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/84.jpg
85,Burgundy Quarter-Zip Sweatshirt,Quarter-Zip Sweatshirt,Male,Autumn / Winter,"Casual, collegiate","Campus, lounge, coffee run",Burgundy,Cotton fleece,HKD 319,"M, L, XL",A quarter-zip sweatshirt that mixes comfort with a slightly smarter sporty finish.,Style with chinos or joggers and white sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/85.jpg
86,Sand Knit Tank Top,Knit Tank,Male,Spring / Summer,"Minimal, modern","Vacation, layering, casual outing",Sand,Cotton knit,HKD 229,"M, L, XL","A knit tank top for warm days, offering texture and a clean silhouette.",Looks good with loose linen trousers or shorts.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/86.jpg
87,Black Faux Leather Bomber,Faux Leather Jacket,Male,Autumn / Winter,"Urban, edgy","Night out, concert, weekend",Black,Faux leather,HKD 679,"M, L, XL",A faux leather bomber jacket with a sleek finish for sharp cold-season styling.,Wear over a plain tee with dark denim and boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/87.jpg
88,Ice Blue Performance Polo,Performance Polo,Male,Spring / Summer,"Sport smart, breathable","Golf, office casual, travel",Ice Blue,Polyester spandex blend,HKD 289,"M, L, XL","A performance polo shirt that blends stretch, breathability, and a tidy look.",Pairs well with chino shorts or lightweight trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/88.jpg
89,Coffee Ribbed Long Sleeve,Ribbed Top,Male,Autumn / Winter,"Casual, fitted","Daily wear, layering, date",Coffee,Cotton rib knit,HKD 239,"M, L, XL",A ribbed long-sleeve top with a close fit that works well on its own or under jackets.,Match with straight jeans and a wool coat.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/89.jpg
90,Olive Field Jacket,Field Jacket,Male,Spring / Autumn,"Military-inspired, practical","Commute, travel, weekend",Olive,Cotton nylon blend,HKD 629,"M, L, XL",A field jacket with patch pockets and a structured shape for versatile transitional styling.,"Layer it with knitwear, chinos, and leather boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/90.jpg
91,White Relaxed Fit Jeans,Jeans,Male,Spring / Summer,"Clean, casual","Weekend, vacation, city stroll",White,Cotton denim,HKD 409,"M, L, XL",Relaxed fit jeans in crisp white for a fresh and modern casual wardrobe.,Wear with a knit polo or striped tee and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/91.jpg
92,Sunset Orange Resort Shirt,Resort Shirt,Male,Spring / Summer,"Bold, relaxed","Beach dinner, holiday, weekend",Sunset Orange,Viscose,HKD 299,"M, L, XL",A resort shirt with a fluid drape and vibrant tone for standout warm-weather outfits.,Style with neutral shorts and open sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/92.jpg
93,Graphite Tech Joggers,Tech Joggers,Male,All Season,"Athleisure, streamlined","Travel, commute, casual sport",Graphite,Nylon spandex blend,HKD 369,"M, L, XL",Tech joggers with stretch and a tapered fit for movement-friendly modern dressing.,Pair with a zip hoodie or performance tee.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/93.jpg
94,Chestnut Shawl Collar Cardigan,Shawl Cardigan,Male,Autumn / Winter,"Cozy, heritage","Home gathering, weekend, cafe",Chestnut,Wool acrylic blend,HKD 459,"M, L, XL",A shawl collar cardigan that brings warmth and classic texture to relaxed winter outfits.,Layer over a henley shirt with denim.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/94.jpg
95,Blue Grey Longline Coat,Longline Coat,Male,Autumn / Winter,"Sophisticated, minimal","Office, dinner, city commute",Blue Grey,Wool blend,HKD 1049,"M, L, XL",A longline coat with a clean silhouette that instantly elevates cold-weather outfits.,Wear over a sweater and tailored trousers for a refined look.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/95.jpg
96,Stone Pleated Linen Shorts,Linen Shorts,Male,Spring / Summer,"Resort casual, breathable","Vacation, brunch, warm-weather outing",Stone,Linen blend,HKD 289,"M, L, XL",Pleated linen shorts that keep summer looks airy while remaining polished.,Match with a camp collar shirt and leather sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/96.jpg
97,Dark Plum Velvet Blazer,Velvet Blazer,Male,Autumn / Winter,"Formal, statement","Party, dinner, celebration",Dark Plum,Cotton velvet,HKD 759,"M, L, XL",A velvet blazer designed for festive occasions where texture and depth make an impact.,Style with black trousers and a crisp dress shirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/97.jpg
98,Heather Beige Thermal Hoodie,Thermal Hoodie,Male,Autumn / Winter,"Casual, warm","Travel, weekend, layering",Heather Beige,Thermal knit cotton blend,HKD 339,"M, L, XL",A thermal hoodie with textured fabric and soft warmth for cool relaxed days.,Wear with joggers or cargo pants and trainers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/98.jpg
99,Dark Teal Carpenter Pants,Carpenter Pants,Male,Spring / Autumn,"Workwear, relaxed","Weekend, casual outing, travel",Dark Teal,Cotton canvas,HKD 399,"M, L, XL",Carpenter pants with utility-inspired detailing and a roomy everyday fit.,Pair with a pocket tee and overshirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/99.jpg
100,Ivory Mock Neck Tee,Mock Neck T-Shirt,Male,Spring / Summer,"Minimal, clean","Cafe, daily wear, casual office",Ivory,Cotton jersey,HKD 209,"M, L, XL",A mock neck tee that looks sharper than a standard T-shirt while staying easy to wear.,Combine with pleated trousers or straight denim.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/100.jpg
101,White Interview Tailored Shirt,Dress Shirt,Female,All Season,"Professional, polished","Interview, office, business meeting",White,Cotton stretch blend,HKD 369,"S, M, L",A tailored dress shirt designed for interviews and formal work settings with a crisp and confident look.,Pairs well with a navy blazer and straight-leg trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/101.jpg
102,Pale Blue Office Oxford Shirt,Oxford Shirt,Female,All Season,"Smart casual, professional","Office, presentation, client meeting",Pale Blue,Cotton oxford,HKD 339,"S, M, L",A structured oxford shirt that balances comfort and professionalism for long office days.,Style with ankle-length trousers and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/102.jpg
103,Charcoal Commute Blouse,Blouse,Female,Spring / Autumn,"Minimal, office-ready","Commute, office, formal lunch",Charcoal,Polyester crepe,HKD 309,"S, M, L",A wrinkle-resistant blouse made for efficient weekday dressing and easy layering under jackets.,Match with a pencil skirt and low heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/103.jpg
104,Navy Presentation Wrap Top,Wrap Top,Female,All Season,"Elegant, refined","Presentation, conference, office event",Navy,Modal blend,HKD 289,"S, M, L",A wrap-style top that creates a composed silhouette suitable for presentations and business events.,Wear with tailored culottes and a structured tote.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/104.jpg
105,Black Workday Straight Trousers,Trousers,Female,All Season,"Professional, versatile","Office, interview, daily commute",Black,Polyester rayon blend,HKD 429,"S, M, L, XL",Straight trousers with a clean front and comfortable drape for all-day professional wear.,Pair with a tucked shirt and kitten heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/105.jpg
106,Stone Meeting Midi Dress,Midi Dress,Female,Spring / Autumn,"Understated, polished","Meeting, office, business dinner",Stone,Stretch knit blend,HKD 469,"S, M, L",A neat midi dress that looks polished on its own and layers well with blazers.,Complete the look with a slim belt and pumps.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/106.jpg
107,Dusty Pink Reception Cardigan,Cardigan,Female,Spring / Autumn,"Soft professional, neat","Office, reception desk, campus work",Dusty Pink,Viscose knit,HKD 279,"S, M, L",A lightweight cardigan that softens formal outfits while staying appropriate for workplace settings.,Layer over a shell top and slim trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/107.jpg
108,Grey Interview Pencil Skirt,Pencil Skirt,Female,All Season,"Formal, streamlined","Interview, office, assessment center",Grey,Stretch ponte,HKD 329,"S, M, L",A structured pencil skirt that supports a sharp interview outfit without sacrificing mobility.,Combine with a white shirt and a fitted blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/108.jpg
109,Ivory Administrative Knit Top,Knit Top,Female,Spring / Autumn,"Clean, smart casual","Office, campus job, service desk",Ivory,Rayon knit,HKD 259,"S, M, L",A fine-knit top that feels soft yet polished enough for administrative and office environments.,Style with pleated trousers and simple flats.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/109.jpg
110,Navy Client Meeting Blazer,Blazer,Female,All Season,"Tailored, authoritative","Client meeting, office, interview",Navy,Polyester blend,HKD 589,"S, M, L",A fitted blazer built for professional appointments where a sharp first impression matters.,Wear over a light blouse with tapered pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/110.jpg
111,Black Breathable Running Tee,T-Shirt,Female,Spring / Summer,"Sporty, performance","Running, gym, outdoor training",Black,Moisture-wicking polyester,HKD 199,"S, M, L",A breathable running tee that dries quickly and keeps the body cool during high-movement workouts.,Match with compression shorts and running shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/111.jpg
112,Coral Quick-Dry Running Shorts,Running Shorts,Female,Spring / Summer,"Athletic, lightweight","Running, fitness class, park workout",Coral,Polyester spandex blend,HKD 219,"S, M, L",Lightweight running shorts with a flexible waistband and quick-dry finish for active sessions.,Pair with a sports bra and mesh tee.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/112.jpg
113,Lilac Reflective Windbreaker,Windbreaker,Female,Spring / Autumn,"Active, functional","Morning run, light hiking, commute",Lilac,Nylon,HKD 459,"S, M, L",A lightweight windbreaker with reflective details for safer early-morning or evening exercise.,Layer over a performance tank and leggings.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/113.jpg
114,Teal High-Stretch Tennis Dress,Tennis Dress,Female,Spring / Summer,"Sporty, clean","Tennis, country club, active weekend",Teal,Nylon elastane blend,HKD 499,"S, M, L",A sleeveless tennis dress with stretch and ease of movement for court activities.,Wear with a visor and white court shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/114.jpg
115,White Court Performance Polo,Polo Shirt,Female,Spring / Summer,"Athletic, polished","Tennis, golf range, sporty casual day",White,Performance pique,HKD 269,"S, M, L",A breathable performance polo suited for tennis and other polished active settings.,Style with a pleated skort and sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/115.jpg
116,Navy Pleated Tennis Skort,Skort,Female,Spring / Summer,"Preppy, performance","Tennis, badminton, active outing",Navy,Stretch polyester,HKD 289,"S, M, L",A pleated tennis skort with built-in shorts for secure movement on court.,Pair with a fitted polo or racerback top.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/116.jpg
117,Berry Training Sports Bra,Sports Bra,Female,All Season,"Performance, supportive","Gym, running, yoga",Berry,Nylon spandex blend,HKD 199,"S, M, L",A medium-support sports bra designed to keep workouts stable and comfortable.,Wear with matching leggings or running shorts.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/117.jpg
118,Graphite Compression Leggings,Leggings,Female,All Season,"Athleisure, performance","Running, gym, yoga",Graphite,Compression knit,HKD 299,"S, M, L",Compression leggings that provide support during exercise while remaining easy to style post-workout.,Match with a cropped tee and training jacket.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/118.jpg
119,Cream Winter Down Parka,Down Jacket,Female,Autumn / Winter,"Warm, practical","Cold commute, winter travel, outdoor queue",Cream,Down-filled nylon,HKD 1099,"S, M, L",A winter down parka built for strong insulation during cold urban commutes and travel days.,Layer with a thermal top and fleece-lined pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/119.jpg
120,Mocha Thermal Base Layer,Thermal Top,Female,Autumn / Winter,"Functional, cozy","Layering, skiing trip, cold office",Mocha,Heat-retaining knit,HKD 229,"S, M, L",A thermal base layer that traps warmth and works well beneath sweaters or padded outerwear.,Wear under a down vest or wool coat.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/120.jpg
121,Olive Outdoor Fleece Jacket,Fleece Jacket,Female,Autumn / Winter,"Outdoor casual, warm","Hiking, camping, chilly weekend",Olive,Polyester fleece,HKD 379,"S, M, L",A soft fleece jacket offering warmth for outdoor plans and relaxed cold-weather wear.,Style with cargo pants and trail sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/121.jpg
122,Camel Wool Work Coat,Wool Coat,Female,Autumn / Winter,"Professional, warm","Office commute, formal outing, winter meeting",Camel,Wool blend,HKD 889,"S, M, L",A structured wool coat that keeps formal workwear warm during colder months.,Layer over a turtleneck dress and boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/122.jpg
123,Black Rain-Ready Commute Coat,Rain Coat,Female,Spring / Autumn,"Functional, urban","Rainy commute, city walk, travel",Black,Water-resistant shell,HKD 629,"S, M, L",A streamlined rain-ready coat designed for wet weather without losing a smart city look.,Pair with ankle boots and a compact umbrella.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/123.jpg
124,Sage Yoga Flex Tank,Tank Top,Female,Spring / Summer,"Active, minimal","Yoga, pilates, stretching",Sage,Nylon blend,HKD 189,"S, M, L",A flexible tank top with soft stretch for low-impact studio workouts and warm days.,Wear with high-rise leggings and grip socks.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/124.jpg
125,Heather Grey Lounge Joggers,Jogger Pants,Female,Autumn / Winter,"Casual comfort, sporty","Travel, lounge, gym commute",Heather Grey,Cotton fleece,HKD 249,"S, M, L","Comfortable joggers suitable for recovery days, casual errands, and pre-workout layering.",Pair with a hoodie and running shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/125.jpg
126,White Interview Poplin Shirt,Dress Shirt,Male,All Season,"Professional, crisp","Interview, office, formal meeting",White,Cotton poplin,HKD 379,"M, L, XL",A crisp poplin dress shirt that creates a dependable professional look for interviews and formal workwear.,Style with navy trousers and a dark blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/126.jpg
127,Light Blue Corporate Oxford Shirt,Oxford Shirt,Male,All Season,"Classic, business casual","Office, client visit, presentation",Light Blue,Cotton oxford,HKD 349,"M, L, XL",A reliable oxford shirt designed for office rotation and business casual settings.,Wear with chinos or suit trousers and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/127.jpg
128,Grey Formal Work Trousers,Trousers,Male,All Season,"Formal, structured","Office, interview, business event",Grey,Polyester wool blend,HKD 439,"M, L, XL",Tailored work trousers with a clean drape for sharp weekday dressing.,Pair with a dress shirt and leather belt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/128.jpg
129,Navy Meeting Room Blazer,Blazer,Male,All Season,"Professional, tailored","Meeting, interview, conference",Navy,Polyester viscose blend,HKD 639,"M, L, XL",A smart blazer built for business settings where a polished silhouette matters.,Layer over a white shirt with charcoal trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/129.jpg
130,White Stretch Performance Tee,T-Shirt,Male,Spring / Summer,"Sporty, performance","Running, gym, outdoor training",White,Moisture-wicking knit,HKD 209,"M, L, XL",A stretch performance tee that helps release heat during running and high-intensity sessions.,Match with lightweight running shorts and trainers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/130.jpg
131,Black Split-Hem Running Shorts,Running Shorts,Male,Spring / Summer,"Athletic, lightweight","Running, track workout, cardio session",Black,Polyester mesh blend,HKD 229,"M, L, XL",Running shorts with side splits for freer stride movement and better airflow.,Pair with a breathable tee and ankle socks.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/131.jpg
132,Blue Mesh Training Tank,Tank Top,Male,Spring / Summer,"Performance, breathable","Gym, running, basketball practice",Blue,Mesh polyester,HKD 189,"M, L, XL",A mesh training tank created for ventilation during intense exercise and indoor workouts.,Wear with elastic shorts and cross-training shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/132.jpg
133,Graphite Compression Shorts,Compression Shorts,Male,All Season,"Performance, supportive","Running, gym, cycling base layer",Graphite,Nylon elastane blend,HKD 219,"M, L, XL",Compression shorts that provide muscle support and reduce distraction during fast-paced training.,Use under running shorts or solo for indoor training.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/133.jpg
134,Emerald Court Polo,Polo Shirt,Male,Spring / Summer,"Sport smart, active","Tennis, golf, club activity",Emerald,Performance pique,HKD 279,"M, L, XL",A court-ready polo with breathable texture for racket sports and polished athletic looks.,Style with tennis shorts and white sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/134.jpg
135,White Stretch Tennis Shorts,Tennis Shorts,Male,Spring / Summer,"Athletic, polished","Tennis, badminton, summer sport",White,Stretch woven polyester,HKD 259,"M, L, XL",Stretch tennis shorts designed for quick side-to-side movement and clean court style.,Match with a performance polo and visor.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/135.jpg
136,Navy Half-Zip Warm-Up Top,Half-Zip Top,Male,Spring / Autumn,"Sporty, functional","Warm-up, jogging, gym commute",Navy,Polyester knit,HKD 319,"M, L, XL",A half-zip warm-up top that layers easily before training or cool morning runs.,Pair with joggers or training shorts.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/136.jpg
137,Charcoal All-Weather Joggers,Jogger Pants,Male,All Season,"Athleisure, technical","Travel, gym commute, casual sport",Charcoal,Nylon stretch blend,HKD 339,"M, L, XL",Technical joggers that move comfortably between exercise sessions and daily errands.,Wear with a hoodie and running shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/137.jpg
138,Red Indoor Training Jersey,Jersey,Male,Spring / Summer,"Sporty, energetic","Basketball, futsal, team practice",Red,Breathable polyester,HKD 239,"M, L, XL",A breathable jersey for team training and indoor sports with good moisture control.,Pair with elastic shorts and high-grip shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/138.jpg
139,Olive Lightweight Hiking Shirt,Utility Shirt,Male,Spring / Autumn,"Outdoor, practical","Hiking, travel, weekend trail",Olive,Nylon cotton blend,HKD 359,"M, L, XL",A lightweight hiking shirt with breathable fabric and pockets for outdoor activities.,Wear with cargo shorts and trail shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/139.jpg
140,Sand Quick-Dry Trek Pants,Trek Pants,Male,Spring / Autumn,"Outdoor, functional","Hiking, camping, travel",Sand,Quick-dry nylon,HKD 429,"M, L, XL","Quick-dry trek pants built for movement, changing weather, and light outdoor use.",Match with a utility shirt and windbreaker.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/140.jpg
141,Black Winter Down Jacket,Down Jacket,Male,Autumn / Winter,"Warm, urban","Cold commute, winter travel, outdoor queue",Black,Down-filled shell,HKD 1199,"M, L, XL",A warm down jacket designed for freezing temperatures and dependable daily winter wear.,Layer over a thermal sweatshirt and jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/141.jpg
142,Heather Grey Thermal Crewneck,Thermal Top,Male,Autumn / Winter,"Functional, cozy","Layering, ski trip, cold-weather travel",Heather Grey,Thermal knit cotton blend,HKD 239,"M, L, XL",A thermal crewneck that adds warmth under jackets and sweaters during colder seasons.,Wear beneath a puffer vest or wool coat.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/142.jpg
143,Dark Green Fleece Hiking Vest,Fleece Vest,Male,Autumn / Winter,"Outdoor casual, warm","Camping, trail walk, layering",Dark Green,Polyester fleece,HKD 299,"M, L, XL",A fleece vest that provides core warmth without restricting arm movement on outdoor days.,Layer over a long-sleeve tee with cargo pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/143.jpg
144,Navy Waterproof Commute Shell,Shell Jacket,Male,Spring / Autumn,"Technical, urban","Rainy commute, cycling, travel",Navy,Waterproof nylon,HKD 689,"M, L, XL",A waterproof shell jacket for wet commutes and city movement in unpredictable weather.,Style with tapered joggers and waterproof sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/144.jpg
145,Beige Smart Casual Chino Shirt,Shirt,Male,Spring / Autumn,"Smart casual, office-friendly","Office casual, lunch meeting, campus event",Beige,Cotton twill,HKD 319,"M, L, XL",A versatile shirt that works for smart casual workplaces and neat everyday dressing.,Pair with chinos and leather sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/145.jpg
146,Burgundy Reception Knit Polo,Knit Polo,Male,Spring / Autumn,"Refined casual, neat","Front desk, office casual, dinner",Burgundy,Cotton knit,HKD 309,"M, L, XL",A knit polo that feels more elevated than a T-shirt while staying comfortable for long hours.,Wear with pleated trousers and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/146.jpg
147,Stone Business Casual Chinos,Chino Pants,Male,All Season,"Clean, versatile","Office, interview, business casual day",Stone,Cotton stretch twill,HKD 389,"M, L, XL",Classic chino pants suitable for business casual offices and polished off-duty outfits.,Match with an oxford shirt and blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/147.jpg
148,Slate Recovery Hoodie,Hoodie,Male,Autumn / Winter,"Casual, sporty","Post-workout, travel, lounge",Slate,Cotton fleece,HKD 299,"M, L, XL",A soft recovery hoodie ideal for after-training warmth and relaxed transit days.,Pair with joggers and cushioned trainers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/148.jpg
149,White Badminton Performance Tee,T-Shirt,Male,Spring / Summer,"Athletic, breathable","Badminton, indoor sport, active weekend",White,Breathable jersey knit,HKD 199,"M, L, XL",A light performance tee made for fast indoor movement and reduced heat buildup.,Wear with elastic shorts and court shoes.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/149.jpg
150,Black Stretch Training Shorts,Training Shorts,Male,Spring / Summer,"Performance, flexible","Gym, HIIT, running, weekend workout",Black,Stretch woven fabric,HKD 239,"M, L, XL","Flexible training shorts designed for squats, sprints, and general workout comfort.",Pair with a moisture-wicking tee and low-cut trainers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/150.jpg
